wb1_spectrum,wb1_wintel_fit,wb1_wintel_base,wb1_frequency
-11.46139185,-6.319028163,-3.831631846,2349.175779
-11.6341961,-7.231423675,-3.992600683,2349.176463
-11.9216616,-8.463693672,-4.153805687,2349.177147
-12.13594673,-10.04748317,-4.315246181,2349.177831
-12.28351788,-12.09575325,-4.476921487,2349.178515
-12.63198338,-12.70958201,-4.638830926,2349.179199
-13.05162281,-12.88309534,-4.80097382,2349.179883
-13.19205148,-13.16402539,-4.963349492,2349.180568
-13.44323758,-13.4543402,-5.125957262,2349.181253
-13.8275354,-13.75466611,-5.288796454,2349.181938
-14.09235216,-14.06573901,-5.451866389,2349.182624
-14.39820272,-14.38842024,-5.615166388,2349.183309
-14.89238559,-14.72365862,-5.778695775,2349.183994
-15.32266786,-15.07250885,-5.94245387,2349.184679
-15.578532,-15.43613993,-6.106439996,2349.185364
-15.91575492,-15.81585532,-6.270653475,2349.186049
-16.32687791,-16.21311237,-6.435093628,2349.186734
-16.65837594,-16.62954406,-6.599759778,2349.187418
-17.13945156,-17.06697808,-6.764651246,2349.188103
-17.77840311,-17.52748011,-6.929767355,2349.188787
-18.22014605,-18.01336983,-7.095107426,2349.189471
-18.57668091,-18.52727973,-7.26067078,2349.190155
-19.19232946,-19.07219427,-7.426456742,2349.190838
-19.83377816,-19.65151315,-7.592464631,2349.191521
-20.32398087,-20.26911609,-7.75869377,2349.192204
-21.02656042,-20.9294394,-7.925143481,2349.192887
-21.84652735,-21.63760293,-8.091813086,2349.193569
-22.53128888,-22.39949815,-8.258701906,2349.194251
-23.28217555,-23.22195637,-8.425809264,2349.194933
-24.28474991,-24.11293054,-8.593134482,2349.195614
-25.20242152,-25.08169833,-8.760676882,2349.196295
-26.14870665,-26.13913135,-8.928435784,2349.196975
-27.46654219,-27.29805428,-9.096410513,2349.197655
-28.84037254,-28.57365411,-9.264600388,2349.198334
-30.09346782,-29.98397811,-9.433004733,2349.199013
-31.58017108,-31.55058074,-9.601622869,2349.199692
-33.3545143,-33.29938453,-9.770454118,2349.20037
-35.25347462,-35.26165078,-9.939497801,2349.201047
-37.36143136,-37.47523916,-10.10875324,2349.201724
-39.97827029,-39.98625971,-10.27821976,2349.2024
-42.89267233,-42.85100783,-10.44789668,2349.203076
-46.03318001,-46.1382493,-10.61778333,2349.203751
-49.71513085,-49.93201029,-10.78787901,2349.204426
-54.10167858,-54.33431185,-10.95818307,2349.2051
-59.03626671,-59.46791213,-11.12869481,2349.205773
-64.79299178,-65.47683769,-11.29941356,2349.206446
-71.8078173,-72.52317206,-11.47033865,2349.207118
-79.88300036,-80.77619014,-11.64146939,2349.20779
-88.98329746,-90.38897385,-11.81280511,2349.208461
-99.84789471,-101.4568491,-11.98434512,2349.209132
-112.3719668,-113.9582873,-12.15608875,2349.209803
-125.8998127,-127.6860197,-12.32803533,2349.210473
-140.3788507,-142.1923135,-12.50018417,2349.211143
-155.7114526,-156.779605,-12.6725346,2349.211812
-170.270879,-170.5608118,-12.84508593,2349.212481
-183.2067065,-182.5834479,-13.01783749,2349.21315
-193.7544505,-191.9753621,-13.19078861,2349.213818
-200.9031183,-198.061303,-13.3639386,2349.214487
-203.7557244,-200.4221113,-13.53728678,2349.215155
-202.1093677,-198.9081599,-13.71083248,2349.215823
-196.0646101,-193.6372138,-13.88457502,2349.216491
-186.2768363,-184.9944542,-14.05851372,2349.217159
-173.892495,-173.6215503,-14.23264791,2349.217827
-159.7332762,-160.3658763,-14.4069769,2349.218494
-144.7768155,-146.1727455,-14.58150001,2349.219162
-130.3317451,-131.942222,-14.75621658,2349.21983
-116.7367926,-118.4008738,-14.93112592,2349.220497
-104.2079008,-106.0320134,-15.10622735,2349.221165
-93.39468574,-95.07543726,-15.28152019,2349.221832
-84.22505756,-85.57730965,-15.45700377,2349.2225
-76.43518091,-77.45754604,-15.63267741,2349.223167
