ID,dateTimeMeasured,SampleName,d17O,d17OError,d18O,d18OError,Dp17O,Dp17OError,nSamCycles,nSamPoints,nRefPoints,pCO2Ref,pCO2Ref_error,pCO2Sam,pCO2Sam_error,pCO2Mismatch,pCO2Mismatch_error,PCellRef,PCellRef_error,PCellSam,PCellSam_error,PCellMismatch,PCellMismatch_error,TCellSam,TCellSam_error,TCellRef,TCellRef_error,TCellMismatch,TCellMismatch_error,measurementPeriod
14676,2023-03-15 05:23:01,lightVsRef,-0.576,0.004,-0.722,0.005,-195.1,3.5,10.0,2332.0,2632.0,420.384,0.32468,419.656,0.47854,-0.72364,0.21188,42.1314,0.00088,42.1328,0.00079,0.00138,0.00074,24.535,0.002,24.535,0.002,0.00025,0.0002,2023-03-15 to 2023-03-20
14680,2023-03-15 21:01:40,lightVsRef,-0.601,0.008,-0.728,0.011,-217.2,3.3,10.0,2416.0,2742.0,419.014,0.31877,419.539,0.48569,0.52793,0.10967,42.1318,0.00161,42.1335,0.00101,0.00163,0.00109,24.5349,0.00212,24.5349,0.00212,-7e-05,0.00039,2023-03-15 to 2023-03-20
14681,2023-03-15 23:47:54,lightVsRef,-0.616,0.011,-0.525,0.023,-338.7,3.6,10.0,2411.0,2796.0,419.071,0.37084,401.889,0.69387,-17.1637,0.47594,42.1169,0.00176,42.1183,0.00089,0.00155,0.00084,24.5345,0.00201,24.5345,0.00201,-0.00017,0.00023,2023-03-15 to 2023-03-20
14683,2023-03-16 05:23:35,lightVsRef,-0.582,0.004,-0.908,0.007,-102.8,4.0,10.0,2476.0,2768.0,418.971,0.33593,436.936,0.52127,17.9605,0.17728,42.1573,0.0009,42.1578,0.00085,0.0005,0.00064,24.5347,0.0022,24.5347,0.0022,8e-05,0.00038,2023-03-15 to 2023-03-20
14688,2023-03-16 19:20:38,lightVsRef,-0.59,0.008,-0.732,0.009,-203.4,5.3,10.0,2327.0,2635.0,418.986,0.34334,419.242,0.4562,0.25362,0.20896,42.1159,0.0013,42.1172,0.00089,0.00129,0.00132,24.5318,0.00211,24.5318,0.00211,0.0,0.00019,2023-03-15 to 2023-03-20
14689,2023-03-16 22:03:09,lightVsRef,-0.573,0.012,-0.552,0.018,-282.1,5.0,10.0,2320.0,2711.0,418.912,0.35034,401.645,0.5265,-17.2465,0.29171,42.0919,0.00152,42.0921,0.00094,0.00023,0.00135,24.5311,0.00205,24.5311,0.00205,0.0001,0.00031,2023-03-15 to 2023-03-20
14691,2023-03-17 03:30:28,lightVsRef,-0.59,0.008,-0.903,0.012,-112.5,3.9,10.0,2266.0,2618.0,419.61,0.3374,437.509,0.45556,17.8724,0.2421,42.0913,0.00126,42.0925,0.00073,0.00112,0.00085,24.5305,0.00216,24.5305,0.00216,-3e-05,0.00031,2023-03-15 to 2023-03-20
14695,2023-03-17 11:35:40,lightVsRef,-0.593,0.006,-0.716,0.006,-214.8,8.4,10.0,2198.0,2599.0,420.101,0.27431,420.148,0.41604,0.04759,0.12329,42.0747,0.00178,42.0749,0.00106,0.00023,0.00128,24.5303,0.00194,24.5303,0.00194,2e-05,0.00028,2023-03-15 to 2023-03-20
14696,2023-03-17 14:14:33,lightVsRef,-0.583,0.015,-0.495,0.025,-321.8,6.1,10.0,2184.0,2637.0,419.983,0.30309,402.662,0.58481,-17.3095,0.41703,42.0705,0.00157,42.0704,0.00107,-9e-05,0.0013,24.5318,0.00234,24.5318,0.00234,0.00026,0.00056,2023-03-15 to 2023-03-20
14698,2023-03-17 19:34:19,lightVsRef,-0.587,0.007,-0.922,0.008,-100.0,8.4,10.0,2237.0,2586.0,419.83,0.31665,437.475,0.44127,17.6243,0.16975,42.0887,0.00159,42.0892,0.00105,0.00062,0.00156,24.5342,0.00197,24.5342,0.00197,0.00011,0.00032,2023-03-15 to 2023-03-20
14701,2023-03-18 03:36:00,lightVsRef,-0.593,0.006,-0.724,0.005,-210.7,4.7,10.0,2285.0,2647.0,419.719,0.28355,419.99,0.44704,0.27166,0.16335,42.099,0.00152,42.0993,0.00092,0.00032,0.00081,24.5308,0.00205,24.5308,0.00205,4e-05,0.00051,2023-03-15 to 2023-03-20
14704,2023-03-18 09:04:16,lightVsRef,-0.592,0.006,-0.74,0.005,-200.9,4.8,10.0,2276.0,2639.0,419.682,0.33096,419.93,0.45244,0.26896,0.19771,42.0849,0.001,42.085,0.00102,0.00013,0.00121,24.5316,0.00209,24.5316,0.00209,3e-05,0.00033,2023-03-15 to 2023-03-20
14709,2023-03-18 22:38:40,lightVsRef,-0.582,0.007,-0.743,0.01,-189.5,4.2,10.0,2323.0,2603.0,419.468,0.2964,419.8,0.43563,0.33219,0.15722,42.1282,0.0012,42.1295,0.00082,0.00141,0.00092,24.5338,0.00202,24.5338,0.00202,0.00011,0.00041,2023-03-15 to 2023-03-20
