AnalyticalID,Date,StartTime,Time,Name,Xp626_L2_mean,Xp626_L2_std,mismatch_Xp626_L2,std_mismatch_Xp626_L2,Praw_mean,Praw_std,mismatch_Praw,std_mismatch_Praw,Traw_mean,Traw_std,mismatch_Traw,std_mismatch_Traw,cycle_n,outliers,dp13C_L1_raw_mean,dp13C_L1_raw_std,dp18O_L1_raw_mean,dp18O_L1_raw_std,dp18O_L2_raw_mean,dp18O_L2_raw_std,dp17O_L2_raw_mean,dp17O_L2_raw_std,Dp17O_raw_mean,Dp17O_raw_std,Dp17O_corr
IAEA603-15,7-Feb-23,9:47:00,9:47:12,230207_094712,394617.9466,362.0455205,-21089.94663,323.9465137,28.18024711,0.081705662,-0.027998443,0.117048372,296.8139923,0.001258095,-1.30E-05,0.000881279,15,0,42.61598103,0.045128977,27.31273722,0.062131447,26.86023767,0.083872749,14.20432166,0.036488771,0.02211617,0.026654154,-0.140276419
IAEA603-16,7-Feb-23,12:48:00,12:48:08,230207_124808,405387.6614,444.711982,-10803.55104,416.5752264,28.18929985,0.036880057,-0.020034863,0.060003293,296.8138753,0.001627677,1.15E-05,0.000771273,15,1,42.90136604,0.071799032,27.70750875,0.053503298,27.4654248,0.059812513,14.39425472,0.042145431,-0.107489568,0.020488932,-0.190676911
IAEA603-17,7-Feb-23,15:31:00,15:50:48,230207_155048,394480.9436,398.9400655,-22265.38424,378.9139487,28.16170728,0.017115514,-0.037031626,0.023025494,296.8525187,0.001562205,-0.000297745,0.000686738,15,1,42.57464226,0.080796797,27.43848304,0.071117343,27.02182766,0.14375475,14.24881136,0.107608532,-0.01871364,0.034156411,-0.190157098
IAEA603-18,13-Feb-23,14:54:00,14:54:44,230213_145444,408396.0864,655.0067531,-8611.618659,562.6505962,28.13478953,0.039172465,-0.077476701,0.051580025,296.8597687,0.00104529,0.000135336,0.001056647,16,0,42.66547767,0.068617159,27.5613389,0.045827348,27.33185645,0.052184422,14.4007099,0.026414391,-0.030510306,0.017264825,-0.09681977
IAEA603-19,16-Feb-23,8:01:00,8:01:04,230216_080104,414209.1113,2346.841379,-2700.807856,2397.134835,28.06369842,0.062346931,-0.094240734,0.077968356,296.8034459,0.000841641,6.77E-05,0.000914796,15,0,42.52288179,0.065931971,27.56664679,0.062034485,27.47800491,0.098006664,14.464262,0.05090579,-0.044124587,0.060092144,-0.064920808
IAEA603-20,17-Feb-23,12:44:00,12:44:37,230217_124437,403691.4801,677.5224196,-13015.70024,622.473425,28.11233445,0.045956158,-0.096007441,0.061833607,296.8328064,0.001489157,-7.28E-05,0.001013465,16,2,42.64275439,0.084764496,27.37359309,0.065508526,27.09748828,0.091628936,14.32380158,0.06555828,0.016327761,0.025300824,-0.083893131
IAEA603-21,19-Feb-23,11:28:00,11:28:27,230219_112827,391678.8963,677.8901946,-24135.01163,593.3421469,28.10598354,0.071356373,-0.095640202,0.073446534,296.8420485,0.017784584,-0.003290109,0.001942811,18,0,42.50074987,0.091327345,27.71121314,0.074893713,27.06237848,0.102958294,14.41643602,0.088553341,0.12750018,0.070608315,-0.058339409
IAEA603-22,27-Feb-23,12:43:00,12:43:44,230227_124344,398110.8053,682.8355275,-17192.24865,547.789803,28.05528693,0.065273943,-0.076059316,0.041634076,296.8900726,0.017590248,-0.0032519,0.002707056,18,0,42.7058885,0.05612204,27.76170444,0.055741694,27.37043577,0.074225863,14.46237619,0.094173868,0.010786101,0.076049747,-0.121594213
IAEA603-23,10-Mar-23,9:32:00,9:32:36,230310_093236,409695.249,559.0059489,-7187.633854,517.5613928,28.00972053,0.074756333,-0.0455374,0.067264979,296.8071538,0.015965142,-0.003665779,0.001098475,15,0,42.7171141,0.046268665,27.68310159,0.072025483,27.513654,0.068645998,14.46276476,0.077311157,-0.064444555,0.073927311,-0.119789336
IAEA603-24,10-Mar-23,19:38:00,19:38:36,230310_193836,408034.8631,643.0586359,-9048.100525,590.7122042,28.04413216,0.065310532,-0.041980148,0.057221782,296.8368564,0.006515192,-0.000175891,0.002456039,18,0,42.78761217,0.068301547,27.94897491,0.063084639,27.73120277,0.053971467,14.56870185,0.048246333,-0.073373208,0.032021214,-0.143043582
IAEA603-27,18-Mar-23,11:50:00,11:50:30,230318_115030,403032.8402,814.0875561,-13357.27281,620.7897799,28.1127776,0.088954062,-0.085027495,0.086279488,296.7397153,0.001422149,-0.00043076,0.000726014,22,0,42.68021385,0.084421442,27.69274818,0.121354691,27.39460257,0.078272038,14.5101937,0.069441515,0.045843542,0.056538866,-0.057007459
IAEA603-28,19-Mar-23,14:50:00,14:50:05,230319_145005,407641.2335,785.3934703,-9064.786892,748.7774919,28.11870185,0.066477688,-0.068569501,0.071824239,296.7320983,0.001593247,8.96E-05,0.000843726,21,1,42.72149593,0.057670454,27.22477987,0.08207461,26.97229731,0.048271084,14.20887019,0.071026768,-0.032502784,0.054163266,-0.102301643
